Name;Subproject;Code flash;Code flash extended;Data flash;Primary local RAM;Retention RAM
Dem_Main.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\main;318;0;0;3;0
Dem_Mapping.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\map;5758;0;0;0;0
Dem_Nvm.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\nvm;2432;0;0;500;0
Dem_NvmCallbacks.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\nvm;216;0;0;0;0
Dem_OperationCycle.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Dem\src\main;254;0;0;4;0
Dem_PrjSpecificIndiHandling.obj;rb_ca_CoreAssets\rb_sys_SystemServices\rba_DemIndicatorLitePS\src;354;0;0;0;0
Det.obj;rb_ca_CoreAssets\rb_sys_SystemServices\Det\src;124;0;0;65;0
Det_ErrorSaver.obj;rb_cfg_Config\rb_cfgd_ConfigDefinitions\rb_cfgc_ConfigCDG\Diagnosis;12;0;0;4;0
Dio.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Dio\src;86;0;0;0;0
E2E_P01.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;3;0;0;0;0
E2E_P02.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;3;0;0;0;0
E2E_P06.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;256;0;0;0;0
Ea_Cfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;1892;0;0;0;0
Ea_GetJobResult.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\Ea\src;34;0;0;0;0
Ea_GetStatus.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\Ea\src;24;0;0;0;0
Eep.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\Eep\src;766;0;0;166;0
Eep_Cancel.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\Eep\src;58;0;0;0;0
Eep_Cfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;16;0;0;0;0
Eep_Compare.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\Eep\src;132;0;0;0;0
Eep_Erase.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\Eep\src;122;0;0;0;0
Eep_GetJobResult.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\Eep\src;26;0;0;0;0
Eep_GetStatus.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\Eep\src;26;0;0;0;0
Eep_Init.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\Eep\src;996;0;0;17;0
Eep_Rb_Det.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\Eep\src;124;0;0;0;0
Eep_Rb_Srv.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\Eep\src;732;0;0;0;0
Eep_Read.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\Eep\src;134;0;0;0;0
Eep_SetMode.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\Eep\src;34;0;0;0;0
Eep_Write.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\Eep\src;132;0;0;0;0
Fee_Cfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;2452;0;0;0;0
Fls.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Fls\src;1074;0;0;116;0
Fls_Cfg.obj;rb_cfg_Config\rb_cfga_ConfigAutosar\rb_cfga_AutosarRom;208;0;0;0;0
Fls_Compare.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Fls\src;304;0;0;0;0
Fls_Erase.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Fls\src;342;0;0;8;0
Fls_GetJobResult.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Fls\src;26;0;0;0;0
Fls_GetStatus.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Fls\src;6;0;0;0;0
Fls_Init.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Fls\src;104;0;0;0;0
Fls_Rb_BlankCheck.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Fls\src;292;0;0;0;0
Fls_Rb_Det.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Fls\src;210;0;0;0;0
Fls_Read.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Fls\src;304;0;0;0;0
Fls_SetMode.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Fls\src;16;0;0;0;0
Fls_Write.obj;rb_ca_CoreAssets\rb_mcd_McDrivers\Fls\src;526;0;0;0;0
MemIf_MainFunction.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\MemIf\src;126;0;0;0;0
MemIf_Rb_MainFunction.obj;rb_ca_CoreAssets\rb_mems_MemoryStack\MemIf\src;152;0;0;0;0
